SR.NO.	aQGC_ParName	ParaValue	SumofWeight*Cross-Sec	Avg.OFWeight*Cross-section
0	FS0	-900	2.66725e+07	16.2621
1	FS0	-880	2.5516e+07	15.5569
2	FS0	-860	2.43855e+07	14.8677
3	FS0	-840	2.3281e+07	14.1943
4	FS0	-820	2.22025e+07	13.5367
5	FS0	-800	2.11499e+07	12.895
6	FS0	-780	2.01234e+07	12.2691
7	FS0	-760	1.91229e+07	11.6591
8	FS0	-740	1.81483e+07	11.0649
9	FS0	-720	1.71998e+07	10.4866
10	FS0	-700	1.62772e+07	9.9241
11	FS0	-680	1.53806e+07	9.37748
12	FS0	-660	1.45101e+07	8.8467
13	FS0	-640	1.36655e+07	8.33177
14	FS0	-620	1.28469e+07	7.83269
15	FS0	-600	1.20544e+07	7.34946
16	FS0	-580	1.12878e+07	6.88207
17	FS0	-560	1.05472e+07	6.43054
18	FS0	-540	9.83257e+06	5.99485
19	FS0	-520	9.14397e+06	5.57502
20	FS0	-500	8.48136e+06	5.17103
21	FS0	-480	7.84475e+06	4.78289
22	FS0	-460	7.23413e+06	4.4106
23	FS0	-440	6.64951e+06	4.05416
24	FS0	-420	6.09088e+06	3.71357
25	FS0	-400	5.55824e+06	3.38882
26	FS0	-380	5.0516e+06	3.07993
27	FS0	-360	4.57096e+06	2.78688
28	FS0	-340	4.11631e+06	2.50968
29	FS0	-320	3.68765e+06	2.24834
30	FS0	-300	3.28499e+06	2.00284
31	FS0	-280	2.90832e+06	1.77318
32	FS0	-260	2.55765e+06	1.55938
33	FS0	-240	2.23297e+06	1.36143
34	FS0	-220	1.93429e+06	1.17932
35	FS0	-200	1.6616e+06	1.01307
